,Mobile devices,,,All devices,,,Mobile devices,,,All devices,,
Report Date,Stuff UB,NZH UB,Stuff - NZH UB,Stuff UB,NZH UB,Stuff - NZH UB,Stuff PI,NZH PI,Stuff - NZH PI,Stuff PI,NZH PI,Stuff - NZH PI
17-Nov-18,583476,528685,54791,747852,874704,-126852,2185962,1608009,577953,5083795,3407412,1676383
18-Nov-18,666879,658541,8338,896038,1117704,-221666,2106883,1488731,618152,4030188,2649583,1380605
19-Nov-18,640499,678299,-37800,882637,1057662,-175025,2460639,1915704,544935,4583054,3236104,1346950
20-Nov-18,631768,642815,-11047,810486,946236,-135750,2187636,1812695,374941,5487718,3870473,1617245
21-Nov-18,601760,641359,-39599,763763,870029,-106266,2163957,1747864,416093,5419550,3869153,1550397
22-Nov-18,565726,563603,2123,726624,756298,-29674,2100345,1793583,306762,5260861,3882340,1378521
23-Nov-18,568193,530789,37404,731848,696228,35620,1992924,1577040,415884,5074435,3476557,1597878
24-Nov-18,659327,547715,111612,820739,714246,106493,1945555,1463118,482437,4782767,3210641,1572126
25-Nov-18,765644,636436,129208,959548,848941,110607,2242631,1586364,656267,4254496,2866839,1387657
26-Nov-18,699979,639470,60509,891476,940161,-48685,2621723,1901088,720635,4887372,3316529,1570843
27-Nov-18,675792,652404,23388,851889,1021496,-169607,2334631,1759412,575219,5762833,3875864,1886969
28-Nov-18,643984,626895,17089,805653,874750,-69097,2245558,1822238,423320,5600786,3973756,1627030
29-Nov-18,610097,631370,-21273,766248,822335,-56087,2078933,1677370,401563,5194003,3709432,1484571
30-Nov-18,642909,601632,41277,825720,846197,-20477,2021396,1669006,352390,5032900,3608383,1424517
1-Dec-18,627389,514761,112628,784465,681105,103360,2108310,1629625,478685,5031772,3482639,1549133
2-Dec-18,682314,588773,93541,874131,806434,67697,2160700,1585131,575569,4112576,2883563,1229013
3-Dec-18,762069,597980,164089,993330,776486,216844,2425983,1718590,707393,4523499,2992796,1530703
4-Dec-18,688268,599603,88665,972103,756320,215783,2383912,1632203,751709,5673707,3639211,2034496
5-Dec-18,655461,644746,10715,858517,832575,25942,2244366,1632825,611541,5514331,3710448,1803883
6-Dec-18,635078,614714,20364,805035,799537,5498,2234467,1671210,563257,5454778,3607760,1847018
7-Dec-18,635038,573705,61333,812917,785453,27464,2097181,1678629,418552,5170436,3620275,1550161
8-Dec-18,714486,701291,13195,954111,912494,41617,2073477,1556147,517330,4880703,3328211,1552492
9-Dec-18,787714,941350,-153636,1017462,1242078,-224616,2380045,1947646,432399,4292547,3250460,1042087
10-Dec-18,908499,832647,75852,1161516,1211705,-50189,2678984,2477269,201715,4792294,3874204,918090
11-Dec-18,854181,773924,80257,1105142,986879,118263,2853012,2273833,579179,6603375,4591744,2011631
12-Dec-18,706476,729045,-22569,949819,913579,36240,2594101,2134506,459595,5939625,4335517,1604108
13-Dec-18,705323,683994,21329,934425,852385,82040,2287889,1957672,330217,5498717,3979003,1519714
14-Dec-18,678769,670266,8503,907943,845966,61977,2316706,1847295,469411,5452457,3858677,1593780
15-Dec-18,645091,635855,9236,866174,830197,35977,2225421,1799421,426000,5171440,3659757,1511683
16-Dec-18,724757,676747,48010,941241,905811,35430,2252659,1784840,467819,4192952,3026185,1166767
17-Dec-18,731994,619124,112870,947637,813714,133923,2511931,1932095,579836,4605838,3221819,1384019
18-Dec-18,726030,707954,18076,908397,960620,-52223,2455397,1735572,719825,5837639,3793587,2044052
19-Dec-18,715297,665509,49788,891670,876079,15591,2346399,1936519,409880,5571024,4088516,1482508
20-Dec-18,710528,667614,42914,873528,860195,13333,2293043,1787483,505560,5512316,3785393,1726923
21-Dec-18,681643,587004,94639,838756,769486,69270,2251894,1772595,479299,5322239,3751323,1570916
22-Dec-18,631438,614015,17423,779156,837837,-58681,2211456,1629407,582049,4955696,3369446,1586250
23-Dec-18,633844,581527,52317,832947,750064,82883,2166479,1635471,531008,4036125,2773358,1262767
24-Dec-18,678209,592274,85935,882282,750106,132176,2277744,1698619,579125,4201095,2934074,1267021
25-Dec-18,541597,511783,29814,691075,671691,19384,2407113,1776227,630886,4589077,3214286,1374791
26-Dec-18,616427,662254,-45827,779197,844845,-65648,2018599,1497724,520875,3461244,2406885,1054359
27-Dec-18,697350,660441,36909,869438,831218,38220,2254238,1926254,327984,4037482,3212157,825325
28-Dec-18,714244,587679,126565,898258,740517,157741,2375966,1847070,528896,4471867,3190463,1281404
29-Dec-18,657602,554411,103191,834135,712687,121448,2378924,1654920,724004,4415109,2870545,1544564
30-Dec-18,664334,650508,13826,849046,832370,16676,2325244,1615377,709867,4226600,2714491,1512109
31-Dec-18,693728,577741,115987,918559,747677,170882,2316086,1849371,466715,4135778,2995139,1140639
1-Jan-19,723810,598069,125741,965123,761435,203688,2339771,1630992,708779,4349229,2857289,1491940
2-Jan-19,751521,674486,77035,987030,894491,92539,2591985,1857970,734015,4424712,3038562,1386150
3-Jan-19,854769,734421,120348,1058129,940316,117813,2615450,2051762,563688,4587544,3344397,1243147
4-Jan-19,768116,712981,55135,995124,919033,76091,3012630,2184011,828619,5566894,3812109,1754785
5-Jan-19,663367,660554,2813,880927,1008241,-127314,2766654,2060791,705863,5222856,3641101,1581755
6-Jan-19,706751,674864,31887,898016,931429,-33413,2349201,1901178,448023,4156389,3112003,1044386
7-Jan-19,730346,611784,118562,929756,785929,143827,2593043,1983139,609904,4676037,3260143,1415894
8-Jan-19,684540,640755,43785,862921,839036,23885,2592499,1829696,762803,5527237,3694226,1833011
9-Jan-19,664808,601704,63104,827903,769575,58328,2411483,1879289,532194,5251822,3658930,1592892
10-Jan-19,757325,581939,175386,949468,753787,195681,2323880,1818768,505112,5178125,3730477,1447648
11-Jan-19,765955,633977,131978,965483,815581,149902,2619369,1782405,836964,5740318,3680591,2059727
12-Jan-19,675476,640889,34587,853457,832243,21214,2628831,1914020,714811,5645425,3813539,1831886
13-Jan-19,695971,724755,-28784,875848,946011,-70163,2340754,1893272,447482,4283717,3146198,1137519
14-Jan-19,776513,765307,11206,991853,979196,12657,2392042,2111041,281001,4343617,3417261,926356
15-Jan-19,849552,853624,-4072,1070430,1099726,-29296,2553509,2151240,402269,5851583,4398955,1452628
16-Jan-19,833621,763874,69747,1055083,1023323,31760,2761427,2340172,421255,6203952,4578341,1625611
17-Jan-19,823785,779764,44021,1077101,1087479,-10378,2743125,2207994,535131,6195132,4467530,1727602
18-Jan-19,809687,680567,129120,1031862,936669,95193,2632157,2147046,485111,5851828,4282274,1569554
19-Jan-19,769079,555333,213746,970535,756193,214342,2678996,1933022,745974,5791223,3970327,1820896
20-Jan-19,736273,661800,74473,929342,907318,22024,2569515,1671419,898096,4524611,2880227,1644384
21-Jan-19,803645,732135,71510,1022321,993833,28488,2616191,1947364,668827,4665695,3221161,1444534
22-Jan-19,835256,707997,127259,1069955,964992,104963,2864302,2088015,776287,6063015,4257535,1805480
23-Jan-19,827106,716633,110473,1067784,959161,108623,2905374,2053178,852196,6327222,4326469,2000753
24-Jan-19,798938,658021,140917,1013890,851022,162868,3051880,2025798,1026082,6601516,4139137,2462379
25-Jan-19,838259,614837,223422,1033640,792832,240808,2949522,1882755,1066767,6416210,3973113,2443097
26-Jan-19,719892,597915,121977,910275,798046,112229,2963999,1781370,1182629,6208639,3697959,2510680
27-Jan-19,726660,662542,64118,923249,879637,43612,2736868,1855586,881282,4891472,3141740,1749732
28-Jan-19,921522,787315,134207,1157986,1037209,120777,2829846,2022512,807334,5065759,3310866,1754893
29-Jan-19,849697,796918,52779,1048668,1011977,36691,3165607,2312951,852656,6514267,4053363,2460904
30-Jan-19,766956,750150,16806,956442,989171,-32729,2953099,2192960,760139,6508493,4386137,2122356
31-Jan-19,785399,733074,52325,990591,1064380,-73789,2763573,2156222,607351,6123020,4332146,1790874
1-Feb-19,749065,740646,8419,931396,945482,-14086,2810808,2084041,726767,6182267,4200003,1982264
2-Feb-19,666065,658822,7243,846561,850695,-4134,2674610,2047118,627492,5830009,4013586,1816423
3-Feb-19,759627,713584,46043,942178,922698,19480,2498723,1967424,531299,4531732,3304162,1227570
4-Feb-19,769862,653211,116651,969239,872658,96581,2994606,2129625,864981,5322444,3516960,1805484
